"clip_id","categories"
2285902,"9, 111, 2, 26"
2809991,3
3890238,"232, 13"
4238052,"2, 155"
6857186,9
7507493,7
8191217,117
9940327,"17, 117, 178, 6"
10019015,"2, 26"
10829255,2
11077331,"2, 32, 7, 211"
12423997,2
12653029,"178, 179, 117"
12829784,"3, 50, 7, 116"
13533846,"2, 7"
13898084,"3, 50"
14679729,7
14773535,"2, 26"
15126262,2
15841377,117
16094710,3
16640746,7
16653052,117
16964034,11
17419531,13
17535548,"2, 27"
18441243,"7, 118"
19024160,2
19687833,3
20344220,7
21119709,191
21216091,7
21253329,117
22611216,"11, 82"
23371242,"3, 50, 7, 116"
23925061,"3, 7"
23986237,9
24831714,7
25037336,"3, 117, 178, 6, 186, 1, 161"
25127382,117
25485145,193
25799594,7
26378195,13
26433049,13
26747671,"32, 2"
27003856,3
27127177,"27, 7, 211, 2"
27273208,9
27699350,7
28051776,117
28735477,"9, 2"
28855417,142
29392606,7
30126264,142
30501143,"18, 169, 9, 108"
30708149,"17, 18"
30969373,"11, 87"
31268301,2
32273368,9
32364450,"7, 118, 2, 27"
32748421,"175, 117"
32748604,117
32772801,129
33822223,2
33846498,"7, 134"
34072719,7
34134308,193
35927275,"3, 50, 7, 116, 11, 82"
35965635,117
36071497,142
36491475,2
36547449,"9, 111"
36731248,7
36830276,191
36890881,7
36994466,129
37071868,"129, 13"
37106377,4
37156264,117
37176398,"155, 2"
37239925,142
37373013,17
37792362,6
38931673,"2, 7"
39312923,7
39329246,7
39863899,2
40401835,3
40847329,"2, 26"
41038445,1
41406753,13
41740558,9
41777758,17
41783612,"117, 11"
41791991,7
42109988,"2, 7"
42806579,"7, 118"
42874024,7
42934682,7
43331383,7
43747127,2
43942492,"50, 7, 116, 214, 3"
44336109,"2, 26"
44356343,7
44387307,7
44405353,"2, 7"
44740087,"2, 7"
44859581,2
45068181,"2, 26, 117, 178, 6"
45075681,"117, 11"
45095858,9
45270841,7
45281618,"7, 2"
45417241,12
45550516,9
45642553,9
46123821,191
46132826,7
46145750,7
46300983,"24, 1"
47623825,9
47875313,9
47955207,191
49059546,2
49445992,117
49478128,7
49636181,9
49854655,2
50097809,117
50405555,117
50531435,"7, 211"
50700292,9
50976572,7
51036089,9
51159181,"7, 2"
51309765,9
51315610,"7, 2"
51700038,12
51704432,2
52235498,7
52243765,7
52640864,1
52744406,2
52760964,1
53188831,"129, 2"
53520224,9
53623459,117
54135163,7
54144270,2
54589245,"7, 118"
54680077,2
54741784,7
55090522,2
55165865,"118, 7"
55887965,"13, 238"
56075298,9
56136687,2
56292505,7
56464411,7
56541141,129
56552254,9
56605338,7
56775813,"6, 186"
56782935,"7, 118"
56810854,"13, 7, 16"
56936092,7
56988484,142
57094153,2
57135411,11
57183688,17
57192213,7
57197027,2
57242407,7
57254558,"3, 117"
57297653,117
57395065,"7, 2"
57444237,9
57460444,2
57463725,18
57536776,9
57564747,117
57705581,117
57747975,2
57765423,7
57804203,9
57815233,142
58015626,2
58150375,7
58161697,9
58179094,2
58179312,2
58224211,2
58241892,"7, 2"
58288032,9
58293017,7
58298502,7
58429056,7
58444378,117
58445885,2
58449984,2
58531940,"2, 7"
58562532,"142, 2"
58617220,2
58646255,"7, 2"
58659769,17
58729480,"9, 2"
58822149,9
58827100,"187, 2, 27, 17"
58834399,7
58841871,7
58869875,"142, 7"
58879954,9
58933055,"3, 142"
59075039,9
59079498,9
59106292,2
59144993,2
59179537,"2, 26, 211, 214, 7"
59207751,117
59230893,"2, 27, 7, 118"
59244708,117
59282725,9
59361603,9
59376506,2
59379393,117
59393483,2
59400095,2
59549299,7
59629693,17
59642733,"2, 26, 7, 211, 215"
59749737,117
59767453,"7, 213"
59880951,9
59956490,"2, 24, 1"
59976249,117
60002414,"13, 7"
60021080,9
60037201,9
60043114,9
60047355,9
60131271,"2, 17"
60224302,9
60512889,"118, 7"
60555406,"17, 117"
60576409,"11, 7, 223"
60639863,7
60718161,117
60763684,2
60788712,7
60999448,9
61103187,14
61217305,2
61248884,142
61361236,117
61451298,9
61532659,7
61533281,2
61613766,9
61617991,117
61813841,9
61830828,9
61835260,"170, 2, 18"
62071921,"9, 2"
62085613,"117, 193"
62201173,2
62219238,17
62267330,2
62330832,17
62386108,7
62409118,9
62452128,7
62509176,"2, 6, 26, 186"
62571137,"11, 222"
62629251,7
62741577,2
62773137,2
62797737,9
62846755,9
63028405,2
63059519,117
63070434,117
63115838,9
63161577,9
63186969,193
63204897,9
63253281,"26, 7, 211, 2"
63359147,2
63507308,2
63609012,"7, 17"
63649144,9
63718300,17
63823593,2
63942137,7
64020968,9
64114843,"7, 28, 2"
64119063,4
64182445,2
64197938,9
64200399,7
64225728,"17, 2"
64448741,9
64504343,11
64542506,9
64605295,17
64618444,"117, 6, 186"
64657859,11
64686559,17
64696537,117
64723147,117
64899535,2
64951553,2
64995776,9
65019294,117
65025577,2
65098104,17
65205680,"9, 2"
65227571,142
65255634,2
65289245,9
65353988,2
65358018,"7, 28, 2"
65384446,7
65404633,"11, 117"
65465072,9
65472977,2
65529665,2
65536778,2
65627343,7
65629901,2
65758287,"9, 2, 155"
65780763,"2, 7"
65836516,2
65848731,117
65884235,"9, 117"
65955300,9
66039041,2
66217968,9
66233510,9
66307750,7
66352973,117
66480704,7
66599774,2
66617573,17
66635211,9
66650920,11
66667105,"117, 11"
66903521,"9, 2"
66929245,2
67017557,"3, 7"
67077975,7
67086114,7
67156498,11
67207222,7
67216430,2
67419875,2
67433949,2
67544207,2
67556702,9
67576646,2
67596510,"2, 7"
67597507,193
67614238,7
67692057,117
67764061,9
67768281,2
67819530,117
67871488,2
67887007,142
67913037,117
68029038,9
68032629,2
68037726,9
68083055,"7, 134"
68146128,117
68148414,"13, 11"
68161548,9
68175219,2
68206303,7
68208871,117
68238929,9
68250479,7
68272249,117
68307465,2
68322131,"2, 26"
68331411,2
68400837,"4, 117"
68433687,2
68473756,2
68476317,2
68526014,9
68546202,17
68548877,7
68606971,"7, 118"
68688220,9
68721490,"9, 2"
68787849,117
68820106,7
68850495,7
68859229,"12, 18"
68866825,2
68901496,"11, 117"
68930177,9
69070555,17
69070659,9
69161321,11
69208253,117
69293738,"7, 3, 50"
69309503,2
69441203,2
69462923,"9, 2"
69476400,"2, 9"
69527636,117
69540151,2
69553622,9
69668299,2
69683707,2
69700933,"2, 7"
69719074,9
69823395,2
70002643,9
70036973,"2, 7"
70055351,9
70082105,117
70163273,"3, 50"
70255969,7
70323400,11
70332985,7
70386747,7
70395575,2
70402981,17
70404609,9
70408127,117
70410780,"3, 7"
70420083,"9, 17"
70443172,"3, 2"
70489511,9
70532693,"7, 17"
70642037,117
70705903,"9, 17"
70775770,2
70777838,7
70849253,9
70877686,117
70921986,"117, 11"
70941166,17
70976607,117
70977312,9
71055478,7
71284879,9
71316649,2
71336599,"3, 7"
71349496,"9, 111, 28, 2"
71374620,9
71546824,142
71695621,2
71702428,7
71748250,2
71838153,4
71853142,"2, 7"
71867019,117
71872608,2
71964690,9
72047036,"117, 11"
72093321,"11, 117"
72104173,9
72287275,9
72306338,7
72359788,9
72384893,"2, 7"
72425090,9
72460193,7
72494801,7
72588912,7
72625639,2
72632269,7
72640628,9
72670988,2
72844829,7
72874423,18
72925384,11
73022720,2
73053894,193
73135695,9
73180322,117
73214621,17
73305158,2
73317780,7
73328418,117
73381838,193
73686146,9
73747093,7
73790095,7
73822107,2
73825736,2
74114715,2
74145511,"24, 7, 1"
74216460,"4, 17"
74222816,2
74238810,7
74333429,"9, 2"
74431122,17
74472983,2
74573072,7
74591133,2
74599830,117
74707432,9
74708925,7
74823283,7
74868773,"3, 50"
75177597,"24, 7, 1"
75195289,2
75285175,9
75302493,9
75423505,9
75542539,"193, 13"
75577679,117
75623972,117
75640140,2
75721711,11
75746181,2
75781782,"7, 215, 28, 2"
75906247,"2, 117"
76032514,117
76047780,"9, 2"
76079487,117
76169474,17
76253725,9
76256858,9
76310726,7
76357912,"2, 9"
76364379,"117, 178"
76477538,"2, 9"
76479685,17
76482820,2
76566050,2
76694540,117
76730864,7
76771149,2
76857722,2
76917855,2
76939235,11
76941952,11
76973327,9
76995667,4
77060992,9
77372063,7
77474520,7
77484567,2
77677392,"50, 2, 3"
77689262,2
77738461,9
77779339,11
77783715,7
77936262,"12, 17"
77944976,2
77945294,7
77984632,2
78011502,"142, 7"
78029639,7
78033138,7
78038426,117
78102460,9
78106175,9
78123821,"2, 26"
78162833,17
78197729,9
78237057,"7, 134"
78244875,9
78254212,"17, 2, 155"
78254514,4
78329678,2
78433108,"2, 7"
78465437,9
78497306,"11, 117"
78508524,7
78514936,2
78532321,7
78678413,"7, 116, 3, 50"
78716671,2
78788086,117
78921928,7
78951865,9
78966399,2
79010983,117
79148964,117
79156963,117
79245537,7
79369173,117
79484641,9
79551332,117
79639392,17
79695097,2
79794849,7
79824774,17
79859440,117
79863947,9
79898435,2
80178959,2
80257307,9
80431826,7
80458111,9
80476161,"1, 117"
80547152,2
80558621,9
80644479,7
80702519,2
80770502,"9, 111, 6"
80837769,117
80888779,117
80890954,9
80914114,"142, 7"
80977329,"2, 27"
81078328,2
81150158,7
81182837,17
81207357,117
81341794,"2, 27"
81487125,"11, 117"
81512787,7
81637881,9
81745843,117
81750548,"2, 26"
81766071,"2, 7"
81815874,9
81847258,2
81860930,7
81933242,9
81957757,2
81973720,2
81979873,7
82095744,11
82395449,"2, 32"
82402146,117
82405904,2
82426597,9
82493478,7
82495711,193
82527075,7
82531615,7
82747747,"3, 50"
82920243,"7, 134"
83107957,2
83188598,7
83269692,7
83376941,9
83408836,"9, 2"
83467406,"2, 9"
83480879,2
83483241,9
83521683,"2, 32"
83528019,7
83571847,2
83644777,"7, 12"
83646667,9
83747519,142
83795090,"13, 7"
83807418,7
83818210,117
83867491,117
83963720,9
83987277,142
84128173,7
84285072,9
84290093,9
84305130,9
84327247,"7, 118"
84702235,9
84713245,"2, 153"
84751465,"2, 26, 11, 223, 219"
84759655,142
84779440,"24, 117, 1"
84844989,"13, 7"
84851890,7
84867203,2
84880847,9
84969499,"4, 117"
84978203,7
85002648,7
85004906,"13, 231"
85037704,17
85085976,117
85104634,"9, 111"
85116343,7
85147504,"2, 7"
85147505,"2, 7"
85147506,"2, 7"
85159714,9
85171830,11
85228844,17
85489652,"18, 117"
85513505,117
85530214,"9, 2"
85577159,9
85847275,9
85852923,"17, 2"
85959378,"117, 9"
85960055,"17, 7"
86149668,2
86199659,"9, 2"
86290699,2
86364565,2
86510436,9
86519824,117
86581300,7
86599344,11
86701482,7
87043208,142
87178317,9
87194878,7
87322941,"2, 7"
87448006,117
87452228,"129, 117"
87454480,7
87492362,2
87526548,2
87532909,"117, 1"
87590640,"117, 18"
87672635,"9, 2"
87753710,9
87829771,"7, 118"
87916326,117
87993762,"2, 27"
88022752,9
88035957,17
88048071,117
88082259,"2, 153, 17"
88211956,9
88251170,7
88318922,117
88372148,117
88623381,9
88764798,"9, 2, 32, 111"
88819008,"7, 118"
88836644,2
88856141,"118, 7"
88896418,9
88916863,7
89203931,"7, 2"
89216531,13
89217776,"7, 118"
89341989,9
89433468,"2, 9"
89451140,9
89455262,9
89465667,2
89515079,9
89577081,7
89845894,"2, 7"
89856635,2
89936009,117
90149475,2
90180971,"193, 13"
90191480,2
90199254,7
90206008,2
90265128,9
90312869,17
90444206,117
90536368,"16, 193"
90549174,"2, 191, 7"
90603521,2
90687731,"2, 153"
90796762,9
90798046,7
90802912,11
90842375,"117, 179, 219, 11"
90865914,2
90921141,2
91007618,13
91011679,2
91039783,2
91315225,2
91359423,117
91508001,9
91594427,2
91636370,11
91678581,"24, 117, 18, 1"
91903234,2
91928597,117
92014511,"193, 13"
92310805,9
92512296,9
92688138,117
92790338,9
92826333,"179, 219, 11, 117"
92869692,2
93003441,193
93050867,7
93094247,13
93105940,"2, 7"
93107965,9
93290081,142
93466855,9
93575669,2
93620598,7
93723851,2
93951774,"2, 32, 7, 211"
93965105,9
94087291,"26, 2"
94202204,117
94253228,"11, 117"
94390460,7
94936857,7
94950033,11
95034569,142
95036996,2
95118171,9
95251007,"2, 26"
95255285,"2, 7"
95331809,"7, 118"
95337936,9
95415863,117
95482896,2
95646143,"11, 117"
95689693,"9, 2"
95757264,"1, 2"
95796043,"9, 17"
95831156,117
95845246,9
95870548,"2, 153"
95946394,"9, 2, 155, 111"
95974049,"17, 193"
95995577,"2, 24, 1"
96000990,2
96063688,2
96472110,"2, 9"
96505122,"7, 211, 214, 2, 26"
96535666,13
96769064,2
96878855,"117, 18"
96930683,9
96988854,"118, 7"
96992249,11
97044963,"9, 2"
97088156,"32, 111, 2, 3, 9"
97111129,17
97115097,7
97117689,11
97122568,2
97168476,9
97174655,"117, 18"
97270099,"179, 219, 11, 117"
97304185,7
97348308,9
97356262,"7, 6, 117"
97360486,117
97438456,9
97451917,"117, 129"
97455734,"13, 7"
97561454,11
97748157,2
97812533,"2, 26, 7, 211"
97875387,"117, 2"
97971369,11
98016344,"117, 178, 161, 1"
98330466,"117, 12"
98345492,117
98437579,9
98486010,7
98571984,"17, 2"
98601226,"7, 116, 3, 50"
98638604,"2, 26, 7, 116, 214, 211"
98826310,9
98861259,11
98898769,7
98970817,"129, 117"
99045058,"3, 7"
99134608,"50, 7, 116, 118, 3"
99575154,11
99694729,2
99713258,2
99751349,9
99895335,117
99992788,2
100238012,"9, 2"
100508776,117
100740282,2
100751417,2
100855742,117
100949626,117
101016146,9
101030171,2
101082416,"7, 2, 26, 27, 118"
101094651,2
101238565,2
101272130,117
101280264,9
101323311,9
101340130,9
101373765,13
101417292,"7, 2"
101882592,7
101952159,117
101953117,7
102006514,2
102051605,193
102116605,"7, 3, 134"
102234762,9
102258703,9
102266784,193
102319896,9
102388760,"6, 186, 17, 187"
102428515,"11, 219"
102501580,11
102550866,"2, 192"
102671169,"2, 153"
102825514,"7, 118"
102958291,"7, 116, 3, 50"
103092939,117
103266746,"193, 13"
103316694,"2, 27"
103322827,9
103425574,"17, 12, 2, 155"
103495686,"7, 116, 3, 50, 214"
103549058,7
103583307,"2, 27"
103595267,9
103637782,7
103664163,117
103678910,1
103721959,"2, 153, 160, 1"
103728987,9
103907391,"117, 18"
103927232,11
103996183,"2, 7, 26, 118"
104480777,"3, 50, 7, 116"
104507683,"2, 7"
104576119,11
104785081,117
104877719,7
104890940,"211, 7, 214, 2, 32"
104894544,2
104899925,17
104919576,9
104961644,"117, 18"
105009872,7
105078498,7
105149174,2
105194950,"117, 179, 11, 219"
105200077,17
105264011,2
105271192,142
105306752,9
105412070,"117, 1, 24"
105549542,142
105551999,117
105570864,117
105580094,7
105585712,"2, 9"
105673207,"117, 6"
105685485,9
105718084,"9, 2, 28, 111"
105905415,"18, 17"
105945427,7
105962129,"2, 9"
106105694,"2, 32"
106167333,17
106176257,9
106420288,9
106547345,"17, 9, 12, 2"
106733307,13
106835400,2
106839392,7
106886061,7
106982886,9
107021974,"7, 2"
107046874,"2, 9, 32, 111"
107261264,"7, 118"
107270525,"17, 188"
107395294,"2, 3, 7"
107435702,2
107545556,9
107789364,"117, 1"
107905316,7
107963554,"2, 7"
108104171,17
108118089,"26, 17, 2"
108160097,2
108194249,9
108303152,"1, 6, 2, 26, 186, 24"
108329954,13
108494448,11
108499003,"117, 18, 32, 2"
108650530,2
108679857,2
108730876,"7, 118"
108798045,"11, 222"
108911820,"18, 168, 17, 187"
108940057,9
109041102,117
109054192,"9, 2"
109092534,9
109105753,7
109126985,9
109220419,9
109403054,11
109553597,"12, 9"
109646378,9
109657377,117
109672232,12
109805292,18
109903713,7
109994035,"7, 134"
110063145,7
110128159,117
110146922,9
110164478,2
110168157,4
110197160,9
110353157,"13, 236"
110361870,"7, 134"
110389272,9
110421448,2
110566773,"24, 2, 1"
110594162,13
110602629,9
110821933,"7, 116"
110883306,9
110899592,"7, 214"
111049676,193
111087687,2
111361109,"170, 18"
111475800,2
111523175,"9, 111"
111627831,"9, 2"
111656214,"1, 161"
111726547,"7, 134, 118"
111824585,117
111938224,117
111956409,7
112078790,2
112221665,9
112352280,"177, 117"
112360862,7
112361221,2
112391679,9
112491820,2
112687575,"9, 2"
112784176,117
112799051,9
112889130,9
112944154,"193, 13, 237"
113008367,117
113241846,9
113447354,"3, 50"
113545101,17
113571214,"7, 11, 223, 212"
113657402,"116, 3, 50, 7"
113868429,2
113964042,"9, 2"
114033533,"7, 116, 3, 50"
114166139,"212, 7"
114521397,7
114565531,"11, 221"
114584766,"7, 118"
114942601,"11, 87"
115134273,"2, 26, 129, 183"
115357791,"7, 118"
115435198,"7, 118"
115687850,"7, 118"
115960680,"11, 87"
116131870,"117, 178"
116213129,"9, 111, 2, 26"
116309879,"3, 50"
116368488,"3, 50"
116498390,"7, 214"
116562391,"117, 175, 198, 203, 54"
116746233,"2, 27"
116976779,"26, 9, 111, 2"
117128919,"9, 111"
117475685,"2, 26, 9, 111"
117513135,"2, 7, 214, 26, 211"
117669654,"13, 234"
117777451,"2, 153"
117827379,"142, 145"
117876456,"11, 221"
117898554,"222, 11"
117934677,"2, 26"
118019503,"117, 178"
118023603,"17, 187"
118166526,"117, 176, 178"
118394841,"3, 50, 116, 7"
118479328,"192, 226, 2, 26"
118507664,"117, 178, 6, 186"
118532076,"117, 178"
118563384,"117, 178, 18"
118621591,"117, 178"
118626850,"7, 118"
118654779,"7, 118"
118688398,"111, 9"
118694375,"17, 187"
118695849,"7, 134"
118751672,"198, 175, 117, 54"
118919656,"2, 26"
118972727,"9, 111, 2, 32"
119044030,"50, 2, 32, 116, 7, 211, 118, 3"
119089169,"2, 28, 17, 187"
119183201,"11, 87"
119359271,"9, 111"
119756554,"111, 26, 2, 9"
119777338,"7, 118"
119907540,"117, 178, 18, 131"
119920980,"17, 187"
119921705,"7, 116, 3, 50"
119932781,"2, 27, 7, 116"
120053370,"178, 117"
120206922,"117, 177, 179, 6, 186"
120351437,"2, 26, 209, 9, 117, 175"
120401488,"7, 215"
120419055,"11, 222"
120514986,"7, 211, 116, 3, 50"
120538042,"9, 111"
120559169,"116, 3, 50, 7"
120562699,"211, 7, 2, 26"
120708289,"7, 118"
120816425,"2, 26"
120828152,"117, 179, 178, 11, 87"
120842635,"117, 178"
120872516,"2, 26"
120976628,"2, 26"
121023868,"2, 26, 9, 111"
121024561,"11, 222, 7, 212"
121101874,"11, 223, 6, 17"
121124509,"13, 236"
121234327,"2, 27, 7, 211"
121359776,"2, 26"
121465494,2
121473419,"2, 26"
121582613,"2, 26"
121649600,"193, 230"
121667533,"7, 118"
121810910,"27, 9, 111, 2"
121818683,"9, 111, 169, 18"
121871261,"2, 27"
121886271,"142, 145, 151"
122040407,"142, 145, 9, 111"
122173358,2
122271823,"9, 111"
122334940,"9, 111, 169, 18"
122396167,"211, 2, 27, 3, 50, 7, 116"
122443244,"9, 111"
122449408,"117, 175, 178, 11, 87"
122800995,"142, 145"
122986659,"142, 145, 3, 50"
123030643,"111, 9"
123085463,"13, 234"
123185527,"11, 222, 117, 178, 179"
123306901,"3, 50, 7, 116, 6, 186"
123478917,"9, 111"
123508958,"2, 26"
123538098,"2, 26, 9, 111"
123564408,"9, 209, 117, 175"
123943300,"2, 3, 50, 116, 7"
124096412,"175, 117"
124256124,"7, 211, 2, 26"
124291511,"9, 111"
124307239,"2, 32"
124313553,"2, 26, 7, 211"
124346309,"7, 118"
124385005,"117, 178"
124429939,"18, 166, 2, 155, 9"
124545160,18
124646944,"7, 118"
124663811,"9, 111"
124766050,"7, 118, 214"
125089843,"2, 26"
125094772,"9, 111"
125292332,"2, 27, 7, 211, 116"
125470228,"7, 215"
125551356,"9, 111"
125551582,"50, 7, 116, 3"
125637137,"3, 50"
125791050,"9, 111, 17"
125791075,"2, 18, 17, 187"
125879832,"7, 134"
125904751,"2, 26"
125927621,"17, 189, 2, 27"
125937761,"7, 118"
125971473,"111, 9"
126060304,"2, 26, 7, 116, 3, 50"
126077901,"2, 26, 7, 211"
126136408,"9, 111"
126330316,"1, 165"
126371564,"7, 214, 116, 3, 50"
126521711,"9, 111, 2, 26"
126726032,"13, 234, 17, 187, 193, 230"
126742773,"153, 2"
126775227,"2, 26, 7, 211"
126778688,"9, 111"
126783354,"11, 87"
126822765,"9, 111, 17"
126897736,"9, 111"
127053285,"9, 111"
127059759,"9, 111"
127121696,"11, 221"
127295085,"2, 26, 117, 178, 9, 209"
127404532,"117, 178, 6, 186, 2, 26"
127447302,"211, 188, 17, 2, 26, 7"
127529843,"2, 32"
127536182,"117, 178"
127708722,"2, 26, 9, 111"
127758642,"9, 111, 7, 215, 214"
127885379,"17, 187, 129, 2, 32"
127964747,"7, 134, 17, 187"
128126914,"9, 111"
128127024,"9, 111"
128252959,"9, 111"
128418807,"2, 3, 50"
128630060,"9, 111"
128745697,"9, 111"
128854100,"18, 169"
128913571,9
129033960,"7, 214, 118"
129041678,"9, 111"
129075739,"7, 118"
129115072,"7, 116, 3, 50"
129276290,"142, 145"
129293500,"178, 13, 234, 117"
129346968,"2, 27, 7, 211"
129564942,17
129710408,"2, 153"
129766340,"2, 26, 7, 211"
129868229,"179, 11, 222, 117"
129888782,"3, 50"
130004497,"2, 32, 26, 3, 50, 7, 211, 116"
130165596,"155, 18, 166, 2"
130216810,"117, 178, 6, 186"
130245089,"117, 178"
130401504,"7, 134"
130733756,"11, 82, 179, 117"
130746973,"6, 186, 13, 234"
130798681,"11, 222"
131046102,"6, 185, 7"
131074115,"9, 111, 7, 214"
131240951,"7, 118"
131256672,"18, 117, 175"
131379560,"18, 168, 117, 175, 178"
131502939,"7, 116, 3, 50"
131506757,"1, 165, 117, 177, 24"
131687627,"7, 212"
